Student Number,Gender,Age,Degree,Year Graduated,CGPA,Average Prof Grade,Average Elec Grade,OJT Grade,Leadership POS,Act Member POS,Soft Skills Ave,Hard Skills Ave,Employability
18-02555,Female,27,BSBA,2018,2.61,82.06,82.32,95.93,No,Yes,1,1,Not Employable
22-02556,Male,31,BSE,2022,2.3,94.18,85.45,79.39,No,No,1,3,Not Employable
21-02557,Male,28,BSIT,2021,2.85,73.45,76.51,78.25,No,No,3,2,Employable
19-02558,Female,25,BSSE,2019,3.93,96.85,91.98,79.05,No,No,2,5,Employable
24-02559,Male,31,BSN,2024,2.82,75.56,87.71,93.23,No,No,3,2,Employable
24-02560,Female,31,BSE,2024,2.69,71.18,90.75,84.86,Yes,Yes,3,4,Employable
22-02561,Male,29,BSP,2022,2.89,74.75,91.98,86.11,Yes,Yes,2,2,Not Employable
23-02562,Female,21,BSHM,2023,2.02,75.72,91.81,94.95,No,No,1,3,Employable
19-02563,Female,21,BSHM,2019,2.27,85.26,98.09,95,Yes,No,4,1,Not Employable
24-02564,Male,23,BSE,2024,3.7,83.5,77.12,74.85,No,Yes,5,3,Not Employable
19-02565,Male,34,BSN,2019,3.96,91.48,78.1,86.49,No,Yes,4,3,Not Employable
16-02566,Female,28,BSCS,2016,2.32,71.53,72.83,73.78,No,Yes,5,1,Not Employable
19-02567,Female,26,BSHM,2019,3.07,84.93,87.78,96.06,No,Yes,2,4,Not Employable
17-02568,Female,21,BSE,2017,3.93,79.97,81.86,95.11,No,No,2,3,Not Employable
21-02569,Male,27,BSSE,2021,2.31,88.92,84.89,95.48,No,Yes,3,1,Employable
24-02570,Male,30,BSN,2024,2.37,71.31,75.09,91.15,Yes,No,2,1,Not Employable
19-02571,Male,26,BSN,2019,3.85,71.05,89.47,84.01,No,Yes,5,3,Not Employable
22-02572,Male,28,BSCS,2022,3.41,82.82,88.57,82.14,Yes,No,4,1,Employable
15-02573,Female,27,BSIT,2015,2.3,94.34,77.94,81.86,Yes,Yes,4,5,Not Employable
17-02574,Female,22,BSA,2017,2.79,90.13,83.96,71.99,Yes,Yes,4,3,Employable
17-02575,Female,20,BSHM,2017,2.11,70.5,96.83,98.47,No,Yes,4,4,Not Employable
23-02576,Female,21,BSA,2023,2.87,75.35,93.2,83.51,No,Yes,3,5,Not Employable
19-02577,Male,34,BSA,2019,3.56,76.8,76.81,97.9,No,No,4,4,Employable
23-02578,Female,33,BSSE,2023,3.11,82.69,96.37,96.38,No,Yes,5,3,Employable
23-02579,Female,32,BSP,2023,3.29,87.6,72.02,94.86,No,Yes,3,2,Not Employable
15-02580,Male,21,BSA,2015,2.65,76.49,82.42,87.65,Yes,No,3,1,Employable
16-02581,Male,23,BSN,2016,2.32,81.48,72.4,73.05,Yes,No,3,5,Not Employable
19-02582,Female,25,BSCS,2019,2.03,87.52,97.73,79.72,No,No,2,3,Employable
18-02583,Male,23,BSCS,2018,3.64,81.5,71.22,88.11,Yes,No,3,1,Employable
24-02584,Female,28,BSP,2024,3.27,74.3,74.54,70.4,Yes,Yes,5,2,Not Employable
23-02585,Male,23,BSIT,2023,2.46,84.75,97.45,71.28,No,Yes,4,4,Employable
21-02586,Male,25,BSN,2021,2.84,79.72,87.46,90.33,No,Yes,2,3,Not Employable
20-02587,Female,25,BSN,2020,3.6,95.93,93.86,96.65,No,Yes,4,3,Not Employable
21-02588,Male,29,BSBA,2021,3.08,93.27,70.49,95.65,Yes,No,1,2,Employable
15-02589,Female,30,BSA,2015,2.6,75.71,82.57,75.04,Yes,Yes,2,4,Employable
15-02590,Male,29,BSE,2015,2.53,74.58,99.53,97.34,Yes,No,5,3,Not Employable
22-02591,Male,20,BSCS,2022,2.44,80.43,87.39,90.89,Yes,Yes,2,1,Employable
16-02592,Male,27,BSA,2016,3.65,82.37,95.49,91.49,Yes,No,3,2,Not Employable
24-02593,Male,31,BSHM,2024,3.16,97.96,98.91,79.12,Yes,No,2,3,Employable
23-02594,Male,22,BSP,2023,3.42,79.05,90.55,91.48,Yes,No,3,4,Employable
21-02595,Female,34,BSN,2021,3.72,96.03,79.83,91.29,No,No,4,5,Employable
20-02596,Male,32,BSBA,2020,3.97,85.16,79.26,87.84,Yes,No,2,3,Employable
15-02597,Female,25,BSP,2015,2.5,96.57,72.14,80.72,No,No,2,4,Employable
15-02598,Male,22,BSA,2015,2.36,91.06,82.83,94.33,No,No,5,2,Not Employable
16-02599,Female,34,BSIT,2016,2.92,91.25,97.46,98.13,Yes,No,1,4,Not Employable
20-02600,Male,30,BSHM,2020,2.07,85.56,84.34,96.1,Yes,Yes,2,4,Employable
20-02601,Female,21,BSA,2020,3.58,95.21,97.33,77.29,No,No,4,2,Not Employable
16-02602,Female,34,BSE,2016,3.77,77.63,94.51,83.37,Yes,Yes,3,5,Not Employable
15-02603,Male,24,BSSE,2015,3.37,97.22,99.53,80.27,No,No,4,1,Not Employable
24-02604,Male,33,BSA,2024,2.54,89.1,98.43,91.22,Yes,Yes,5,5,Not Employable
19-02605,Male,20,BSA,2019,2.25,83.16,91.19,94.94,Yes,Yes,2,1,Not Employable
19-02606,Female,28,BSIT,2019,2.76,99.47,96.14,76.47,No,No,1,1,Employable
16-02607,Female,30,BSN,2016,3.67,95.86,92.44,98.42,No,Yes,1,1,Employable
20-02608,Male,26,BSCS,2020,2.7,93.16,91.1,90.32,No,Yes,2,3,Employable
23-02609,Male,22,BSSE,2023,2.07,78.22,91.47,76.55,No,Yes,1,5,Not Employable
16-02610,Female,23,BSIT,2016,2.55,99.21,91.63,81.13,Yes,No,4,4,Not Employable
24-02611,Female,32,BSCS,2024,3.98,92.29,81.38,73.14,No,No,3,3,Employable
16-02612,Male,25,BSE,2016,3.35,88.16,82.71,87.91,No,No,2,2,Employable
17-02613,Female,22,BSP,2017,3.8,97.65,78.82,75.08,No,No,3,2,Not Employable
21-02614,Male,31,BSSE,2021,3.55,74.87,74.45,90.79,Yes,Yes,1,1,Not Employable
20-02615,Male,26,BSBA,2020,3.08,74.17,83.75,92.12,Yes,Yes,5,3,Not Employable
22-02616,Male,32,BSIT,2022,2.3,86.91,97,84.38,No,Yes,3,3,Not Employable
22-02617,Female,25,BSP,2022,2.7,71.7,89.54,72.81,Yes,Yes,5,2,Not Employable
20-02618,Female,28,BSP,2020,3.17,89.92,71.69,88.33,No,No,4,4,Not Employable
24-02619,Female,31,BSA,2024,3.74,77.22,94.34,81.17,Yes,No,5,5,Employable
17-02620,Female,34,BSA,2017,2.54,73.57,98.06,98.49,No,No,3,5,Employable
17-02621,Male,24,BSBA,2017,2.24,82.28,94.88,85.4,No,No,3,1,Employable
15-02622,Female,23,BSBA,2015,3.12,83.98,91.83,72.17,Yes,Yes,2,1,Employable
21-02623,Male,22,BSBA,2021,2.35,75.11,74.5,89.08,No,Yes,5,1,Not Employable
19-02624,Male,29,BSP,2019,3.22,71.25,80.47,93.38,No,Yes,4,2,Not Employable
18-02625,Male,20,BSCS,2018,2.53,82.42,86.96,74.82,No,No,2,2,Employable
24-02626,Female,22,BSN,2024,2.46,92.79,72.31,83.47,Yes,Yes,2,5,Not Employable
18-02627,Male,22,BSN,2018,2.8,96.23,73.19,92.3,Yes,Yes,4,1,Employable
18-02628,Male,26,BSN,2018,3.19,72.93,98.03,70.61,No,Yes,2,3,Employable
20-02629,Female,26,BSSE,2020,3.09,85.74,91.08,70.87,No,Yes,4,4,Employable
22-02630,Male,32,BSSE,2022,2.49,77.9,78.25,90.31,No,Yes,1,2,Employable
22-02631,Female,34,BSBA,2022,3.78,81.24,79.82,91.75,Yes,Yes,2,1,Employable
19-02632,Female,31,BSN,2019,2.22,98,81.53,95.38,No,No,3,1,Not Employable
20-02633,Female,20,BSE,2020,2.08,80.56,72.25,81.99,No,Yes,1,2,Not Employable
18-02634,Male,22,BSA,2018,3.21,80.96,92.18,81.69,No,No,2,5,Employable
23-02635,Female,32,BSE,2023,2.25,76.28,75.31,86.57,Yes,No,4,5,Employable
22-02636,Female,27,BSN,2022,3.01,98.8,94.15,92.72,No,No,1,5,Not Employable
24-02637,Female,28,BSN,2024,3.9,83.69,95.38,89.23,Yes,Yes,1,5,Employable
24-02638,Female,26,BSA,2024,3.4,87.11,89.15,79.82,No,Yes,3,3,Not Employable
15-02639,Male,26,BSN,2015,3.23,83.6,93.1,80.4,No,No,2,1,Not Employable
16-02640,Female,31,BSIT,2016,3.15,77.59,75.16,92.89,No,Yes,2,5,Employable
23-02641,Male,34,BSP,2023,2.36,94.31,87.28,86.04,Yes,Yes,4,5,Not Employable
22-02642,Female,30,BSA,2022,2.87,70.85,90.3,72.94,No,Yes,1,4,Employable
17-02643,Male,27,BSN,2017,2.69,90.71,89.85,74.59,No,No,3,4,Not Employable
22-02644,Female,25,BSSE,2022,3.91,87.83,73.52,95.54,No,Yes,4,1,Not Employable
15-02645,Male,30,BSSE,2015,2.48,74.33,80.33,99.96,Yes,Yes,4,2,Employable
24-02646,Female,22,BSP,2024,2.94,74.98,79.75,80.07,No,No,3,5,Not Employable
18-02647,Male,34,BSSE,2018,3.88,89.78,87.18,81.6,No,No,2,3,Employable
17-02648,Male,20,BSHM,2017,3.58,79.36,92.96,74.63,No,Yes,3,4,Employable
20-02649,Male,26,BSHM,2020,3.93,77.97,87.12,77.07,Yes,Yes,2,5,Employable
21-02650,Female,20,BSHM,2021,3.22,71.77,92.64,82.74,Yes,No,5,2,Employable
18-02651,Male,20,BSP,2018,2.67,92.99,72.97,78.53,Yes,No,1,3,Employable
21-02652,Male,28,BSP,2021,3.65,96.48,96.34,91.04,Yes,No,3,4,Not Employable
23-02653,Male,32,BSA,2023,2.58,94.6,86.1,86.14,Yes,Yes,4,2,Not Employable
16-02654,Male,29,BSBA,2016,2.33,83.98,71.12,94.67,No,Yes,2,2,Not Employable
17-02655,Female,26,BSHM,2017,3.41,86.02,89.3,91.74,Yes,Yes,1,3,Employable
19-02656,Male,32,BSSE,2019,3.28,77.27,85.52,73.84,Yes,Yes,1,3,Not Employable
17-02657,Male,30,BSE,2017,3.76,75.19,76.61,73.7,Yes,Yes,3,4,Not Employable
22-02658,Male,32,BSBA,2022,3.92,94.69,92.93,96.87,Yes,Yes,4,3,Employable
24-02659,Female,23,BSA,2024,3.71,93.95,98.01,94.59,Yes,No,3,5,Employable
22-02660,Male,25,BSSE,2022,2.12,93.32,79.68,84.04,Yes,Yes,4,3,Employable
22-02661,Male,20,BSN,2022,3.33,83.9,84.82,73.91,No,Yes,5,2,Employable
23-02662,Male,26,BSA,2023,3.57,95.94,73.85,96.96,No,No,3,3,Not Employable
18-02663,Male,31,BSHM,2018,3.96,97.79,97.89,76.92,Yes,No,2,4,Not Employable
19-02664,Female,34,BSHM,2019,2.75,79.85,79.56,71.07,Yes,No,3,5,Not Employable
19-02665,Male,25,BSN,2019,2.34,76.74,75.84,97.73,Yes,No,3,3,Not Employable
22-02666,Male,23,BSCS,2022,3.71,83.93,84.35,94.27,Yes,No,5,5,Not Employable
21-02667,Female,26,BSA,2021,2.63,75.38,71.3,90.8,No,No,5,3,Employable
23-02668,Female,22,BSN,2023,3.2,96.52,77.59,71.02,Yes,No,3,5,Not Employable
22-02669,Female,20,BSP,2022,2.78,80.14,72.03,85.85,No,No,4,3,Employable
16-02670,Male,23,BSA,2016,2.8,87.29,73.82,89.61,No,No,5,3,Not Employable
24-02671,Female,22,BSSE,2024,3.46,87.84,73.36,92.78,No,Yes,5,1,Employable
18-02672,Male,20,BSCS,2018,2.72,85.45,96.17,84.13,No,Yes,4,2,Not Employable
20-02673,Female,21,BSIT,2020,3.39,74.7,97.91,98.6,Yes,Yes,1,4,Not Employable
16-02674,Male,30,BSE,2016,2.03,99.73,84.24,77.34,No,No,5,4,Employable
21-02675,Female,24,BSA,2021,2.65,75.18,88.91,72.09,Yes,Yes,5,1,Employable
17-02676,Male,34,BSBA,2017,2.64,92.55,90.88,79.98,Yes,No,4,3,Employable
17-02677,Female,27,BSP,2017,3.5,93.74,81.74,89.85,No,No,4,2,Employable
16-02678,Male,20,BSN,2016,2.63,74.35,81.11,92.11,No,No,3,5,Not Employable
22-02679,Male,23,BSHM,2022,3.27,97.99,90.27,92.15,No,No,3,1,Not Employable
20-02680,Male,33,BSN,2020,3.38,84.63,81.3,73.32,Yes,Yes,1,4,Employable
15-02681,Male,23,BSN,2015,3.32,88.87,87.43,96.55,No,Yes,1,4,Not Employable
15-02682,Male,24,BSCS,2015,3.21,89.27,85.46,78.43,Yes,No,1,4,Employable
21-02683,Male,26,BSA,2021,2.83,85.15,85.73,76.3,Yes,Yes,2,3,Not Employable
22-02684,Male,32,BSN,2022,2.75,74.26,94.88,88.43,Yes,Yes,4,5,Employable
19-02685,Male,31,BSCS,2019,3.13,92.55,91.12,76.36,Yes,No,5,5,Employable
19-02686,Female,27,BSIT,2019,2.13,87.45,98.82,85.24,No,Yes,4,5,Not Employable
18-02687,Male,34,BSSE,2018,3.75,73.56,93.73,82.21,No,Yes,4,3,Not Employable
20-02688,Male,25,BSIT,2020,3.65,91.01,74.37,76.96,No,Yes,1,4,Not Employable
20-02689,Female,20,BSA,2020,2.69,91.08,92.15,78.76,No,No,4,4,Employable
17-02690,Male,26,BSHM,2017,3.13,86.45,89.97,82.82,No,Yes,2,3,Not Employable
23-02691,Female,22,BSIT,2023,3.86,72.72,89.38,80.38,No,Yes,5,2,Not Employable
21-02692,Male,34,BSCS,2021,2.54,80.58,84.42,81.45,Yes,No,1,3,Employable
15-02693,Female,32,BSCS,2015,3.48,71.53,71.87,92.06,No,Yes,3,3,Not Employable
21-02694,Female,32,BSE,2021,2.17,84.33,98.54,75.05,Yes,Yes,5,4,Employable
19-02695,Male,32,BSBA,2019,3.05,97.19,95.56,88.83,Yes,No,3,5,Not Employable
19-02696,Female,25,BSBA,2019,3.77,70.07,84.6,90.34,Yes,No,3,4,Employable
16-02697,Male,34,BSA,2016,3.1,78,74.76,94.06,Yes,Yes,4,2,Employable
18-02698,Male,27,BSE,2018,3.23,94,94.73,95.42,No,No,5,1,Not Employable
20-02699,Male,26,BSP,2020,3.82,70.3,82.92,74.76,No,Yes,2,1,Not Employable
24-02700,Male,29,BSN,2024,3.43,70.31,81.7,74.15,Yes,No,4,3,Not Employable
21-02701,Female,25,BSIT,2021,3.39,88.32,89.96,88.44,Yes,No,3,1,Employable
19-02702,Male,28,BSN,2019,3.17,93.68,92.76,92.71,No,No,5,5,Not Employable
23-02703,Female,28,BSP,2023,3.27,93.3,71.89,78.17,Yes,Yes,4,4,Employable
17-02704,Female,20,BSHM,2017,3.61,93.39,93.03,85.78,No,Yes,5,2,Not Employable
15-02705,Male,20,BSE,2015,3.96,80.83,92.02,93.17,Yes,No,1,2,Employable
18-02706,Male,20,BSN,2018,3.59,96.48,87.68,93.03,Yes,No,2,2,Not Employable
23-02707,Male,27,BSE,2023,3.42,70.39,80.15,89.61,No,Yes,2,4,Not Employable
18-02708,Male,31,BSE,2018,2.27,79.37,74.94,72.36,No,No,2,5,Not Employable
16-02709,Female,32,BSCS,2016,3.63,80.12,73.08,71.52,No,No,3,2,Employable
24-02710,Male,33,BSSE,2024,3.47,74.97,70.04,81.65,No,No,3,1,Employable
19-02711,Female,31,BSA,2019,3.54,80.09,76.19,70.8,No,Yes,2,5,Employable
17-02712,Male,33,BSBA,2017,2.46,87.58,82.34,97.12,No,Yes,5,5,Employable
23-02713,Male,29,BSE,2023,3.81,85.61,77.31,70.6,No,No,1,5,Not Employable
18-02714,Male,26,BSN,2018,2.19,79.58,79.27,70.89,Yes,No,3,2,Employable
20-02715,Male,22,BSN,2020,2.51,92.48,81.71,74.96,No,Yes,4,5,Not Employable
16-02716,Female,32,BSIT,2016,3.33,91.44,79.25,88.81,Yes,Yes,4,2,Not Employable
20-02717,Female,21,BSE,2020,3.35,78.42,91.74,86.25,No,No,3,1,Employable
17-02718,Male,23,BSSE,2017,2.63,79.7,84.75,89.78,No,No,2,1,Not Employable
23-02719,Female,22,BSA,2023,3.4,78.63,70.58,96.81,Yes,No,5,1,Not Employable
16-02720,Female,26,BSA,2016,2.78,73.87,76.8,83.65,Yes,Yes,1,1,Not Employable
23-02721,Male,29,BSHM,2023,2,92.58,91.29,71.32,Yes,No,4,5,Not Employable
19-02722,Male,34,BSHM,2019,2.33,71.39,79.03,92.9,Yes,Yes,3,5,Not Employable
22-02723,Female,34,BSIT,2022,3.77,74.52,97.6,94.36,No,No,5,2,Employable
16-02724,Female,27,BSBA,2016,2.45,73.16,91.38,71.5,No,No,2,1,Employable
20-02725,Female,25,BSHM,2020,2.23,94.76,78.7,77.29,No,No,1,3,Employable
17-02726,Female,22,BSP,2017,3.36,71.32,85.49,93.12,No,Yes,1,1,Not Employable
24-02727,Male,25,BSIT,2024,2.88,89.94,90.02,81.28,No,Yes,4,4,Not Employable
19-02728,Male,34,BSA,2019,3.59,71.33,75.8,84.18,Yes,No,4,3,Employable
22-02729,Female,21,BSA,2022,3.72,93.59,77.39,94.7,No,No,3,4,Not Employable
24-02730,Male,34,BSSE,2024,3.69,97.38,85.21,72.84,No,No,1,3,Employable
15-02731,Female,31,BSP,2015,2.63,84.61,97.75,90.32,Yes,Yes,2,2,Not Employable
19-02732,Female,26,BSBA,2019,3.01,94.14,80.32,76.45,Yes,No,2,5,Not Employable
17-02733,Male,33,BSN,2017,3.3,91.19,82.06,71.88,Yes,No,3,2,Employable
18-02734,Female,30,BSIT,2018,2.64,93.87,75.72,89.87,No,Yes,1,3,Not Employable
16-02735,Female,29,BSHM,2016,2.08,93,87.8,73.64,Yes,Yes,4,1,Not Employable
23-02736,Male,33,BSCS,2023,2.99,76.16,92.2,92.41,Yes,No,2,2,Employable
17-02737,Male,26,BSSE,2017,2.03,84.99,83.22,76.08,Yes,Yes,5,3,Employable
16-02738,Female,23,BSA,2016,3.9,98.81,92.51,71.46,Yes,Yes,3,1,Employable
24-02739,Female,32,BSCS,2024,3.59,80.31,79.08,72.98,Yes,Yes,2,5,Employable
23-02740,Male,27,BSIT,2023,2.38,99.11,91.21,95.24,No,Yes,5,3,Employable
21-02741,Female,23,BSE,2021,2.58,87.49,77.75,81.13,No,Yes,5,4,Employable
20-02742,Female,26,BSBA,2020,3.97,83.85,93.42,79.07,Yes,Yes,2,4,Not Employable
15-02743,Male,23,BSE,2015,2.75,89.73,94.92,84.74,Yes,Yes,3,4,Not Employable
19-02744,Male,32,BSIT,2019,3.57,94.48,93.93,88.99,Yes,Yes,5,1,Employable
17-02745,Male,31,BSE,2017,2.89,81.83,76.46,71.11,Yes,No,5,1,Not Employable
15-02746,Male,24,BSBA,2015,3.73,70.99,90.83,96.95,Yes,No,1,2,Not Employable
18-02747,Male,26,BSIT,2018,3.41,91.26,86.16,98.75,Yes,Yes,1,1,Employable
16-02748,Male,32,BSCS,2016,2.05,98.69,99.58,82.52,No,Yes,1,3,Not Employable
16-02749,Female,33,BSE,2016,2.59,88.75,80.85,82.38,Yes,No,5,4,Not Employable
17-02750,Female,33,BSBA,2017,3.12,75.65,93.14,96.36,Yes,No,5,5,Not Employable
22-02751,Male,32,BSHM,2022,3.85,77.45,81.1,82.88,Yes,No,3,4,Employable
22-02752,Male,29,BSN,2022,2.2,97.29,81.91,95.69,Yes,No,4,3,Not Employable
21-02753,Female,22,BSBA,2021,3.2,70.41,73.33,70.85,No,No,1,5,Employable
20-02754,Female,29,BSSE,2020,2.6,86.46,77.19,84.69,Yes,Yes,4,2,Employable
23-02755,Female,24,BSN,2023,3.78,74.76,74.93,98.57,No,Yes,1,1,Not Employable
18-02756,Male,30,BSHM,2018,3.53,78.48,74.78,77.58,Yes,No,1,3,Not Employable
15-02757,Male,33,BSP,2015,2.74,79.21,70.27,77.98,Yes,Yes,3,1,Employable
22-02758,Female,22,BSCS,2022,2.33,76.58,93.81,88.9,Yes,No,3,2,Employable
21-02759,Male,24,BSA,2021,2.02,93.77,84.04,97.79,Yes,No,2,5,Employable
21-02760,Male,33,BSHM,2021,3.24,79.97,94.13,75.96,No,Yes,1,3,Not Employable
17-02761,Male,22,BSN,2017,2.81,80.36,88.38,97.65,Yes,Yes,1,5,Employable
18-02762,Female,30,BSN,2018,2.63,83.59,94.94,89.89,No,Yes,1,3,Employable
24-02763,Female,29,BSSE,2024,3.97,97.07,85.11,99.79,No,Yes,3,2,Employable
23-02764,Male,30,BSP,2023,2.93,90.65,72.82,92.09,Yes,No,1,2,Employable
20-02765,Male,26,BSA,2020,3.5,71.85,88.5,90.03,No,Yes,2,2,Employable
19-02766,Male,32,BSSE,2019,2.35,71.18,90.33,94.45,No,No,5,1,Not Employable
17-02767,Male,20,BSHM,2017,2.03,86.99,88.8,75.25,Yes,Yes,2,4,Not Employable
23-02768,Male,28,BSN,2023,2.84,96.61,94.04,98.38,Yes,Yes,5,5,Not Employable
19-02769,Female,28,BSHM,2019,3.33,79.7,91.94,74.97,Yes,No,3,3,Employable
19-02770,Male,24,BSBA,2019,3.01,77.43,82.98,70.77,Yes,No,4,5,Employable
18-02771,Male,28,BSP,2018,3.78,92.45,94.57,90.94,Yes,No,3,4,Not Employable
18-02772,Male,29,BSCS,2018,2.87,88.06,90.75,75.54,Yes,Yes,4,1,Not Employable
15-02773,Female,32,BSBA,2015,2.62,86.95,73.61,92.76,No,No,5,1,Not Employable
21-02774,Female,34,BSP,2021,3.83,74.48,86.2,93.85,Yes,Yes,4,4,Employable
23-02775,Male,25,BSP,2023,2.81,75.28,91.86,77.1,No,No,5,3,Employable
17-02776,Female,34,BSHM,2017,2.54,78.45,86.6,72.6,Yes,No,4,4,Not Employable
16-02777,Female,24,BSBA,2016,2.2,76.21,98.47,85.02,No,Yes,5,1,Not Employable
17-02778,Female,32,BSHM,2017,3.59,99.14,73.04,96.71,No,Yes,4,1,Employable
15-02779,Female,22,BSHM,2015,3.65,70.56,91.67,95.42,No,No,5,5,Employable
20-02780,Female,30,BSHM,2020,2.07,88.78,94.73,73.51,Yes,No,2,3,Employable
21-02781,Female,30,BSN,2021,2.72,85.53,91.08,98.94,No,Yes,1,3,Not Employable
16-02782,Male,27,BSN,2016,3.5,79.7,81.57,77.92,Yes,Yes,2,1,Not Employable
22-02783,Female,23,BSA,2022,3.89,96.63,81.56,80.48,No,No,3,4,Employable
20-02784,Female,29,BSCS,2020,2.76,90.1,87.6,74.47,Yes,No,4,1,Not Employable
18-02785,Male,32,BSSE,2018,3.74,99.95,81.91,81.33,Yes,Yes,5,5,Not Employable
19-02786,Male,34,BSCS,2019,2.79,75.06,96.5,89.07,No,No,2,4,Employable
22-02787,Male,32,BSE,2022,2.36,72.64,73.3,85.18,Yes,No,2,1,Employable
17-02788,Male,22,BSSE,2017,2.01,74.18,89.17,94.83,Yes,Yes,5,3,Not Employable
17-02789,Female,32,BSA,2017,2.66,78.08,74.02,89.24,Yes,No,4,5,Employable
18-02790,Female,25,BSIT,2018,2.76,82.5,86.2,77.91,No,Yes,3,1,Not Employable
15-02791,Female,27,BSSE,2015,3.89,95.88,91.47,86.72,Yes,Yes,3,1,Not Employable
23-02792,Female,32,BSP,2023,2.41,78.51,74.97,71.93,Yes,No,3,2,Employable
22-02793,Male,34,BSIT,2022,2.76,97.46,91.12,87.42,No,Yes,5,4,Not Employable
22-02794,Female,28,BSCS,2022,2.05,83.89,74.2,81.69,No,Yes,2,2,Not Employable
24-02795,Female,33,BSIT,2024,3.53,89.41,88.62,72.95,Yes,Yes,3,3,Employable
20-02796,Male,25,BSCS,2020,3.83,77.93,85.17,79.22,No,No,2,4,Employable
21-02797,Female,24,BSBA,2021,2.48,74.68,78.94,96.94,Yes,No,3,5,Employable
20-02798,Female,31,BSE,2020,2.86,96.08,73.35,87.58,No,No,3,4,Employable
23-02799,Female,30,BSA,2023,2.24,73.29,92.08,97.1,No,Yes,4,1,Not Employable
17-02800,Female,21,BSA,2017,2.91,93.22,81.45,82.32,No,Yes,5,1,Not Employable
17-02801,Male,21,BSP,2017,2.27,87.43,72.6,99.37,No,No,4,1,Not Employable
17-02802,Male,28,BSE,2017,3.05,95.83,93.18,80.8,Yes,No,2,4,Not Employable
24-02803,Male,21,BSE,2024,3.47,91.53,76.99,92.7,No,Yes,2,1,Not Employable
17-02804,Male,21,BSP,2017,3.11,78.45,92.09,79.16,Yes,No,5,1,Employable
23-02805,Male,22,BSCS,2023,2.49,87.23,86.95,73.18,Yes,Yes,3,2,Employable
18-02806,Female,22,BSP,2018,2.71,70.39,75.84,94.99,Yes,No,5,1,Employable
21-02807,Female,23,BSCS,2021,3.28,84.26,72.29,92.88,No,No,3,2,Not Employable
23-02808,Male,26,BSP,2023,3.18,72.58,87.8,94.62,No,No,1,3,Employable
21-02809,Male,28,BSSE,2021,2.27,82.87,70.76,78.99,No,No,1,4,Not Employable
23-02810,Male,21,BSSE,2023,3.69,73.29,71.96,91.11,No,Yes,5,2,Employable
17-02811,Female,23,BSBA,2017,2.95,98.66,91.07,76.6,Yes,No,1,4,Employable
18-02812,Male,28,BSN,2018,2.32,85.69,86.17,70.34,No,Yes,1,4,Employable
22-02813,Female,33,BSP,2022,2.25,97.4,79.79,95.99,Yes,Yes,2,5,Employable
20-02814,Female,21,BSE,2020,3.93,70.67,86.18,85.71,No,No,3,2,Employable
19-02815,Female,29,BSSE,2019,2.56,89.13,87.75,99.51,No,Yes,1,1,Not Employable
18-02816,Female,30,BSHM,2018,3.82,79.21,86.96,81.55,Yes,Yes,4,5,Not Employable
22-02817,Male,32,BSCS,2022,2.82,82.95,89.28,98.71,No,No,2,2,Not Employable
15-02818,Female,20,BSSE,2015,2.77,96.19,98.21,88.45,No,No,3,2,Not Employable
23-02819,Female,29,BSSE,2023,3.4,99.4,81.66,85.37,Yes,No,2,3,Not Employable
15-02820,Male,27,BSCS,2015,2.02,77.39,79.03,79.08,No,No,4,1,Not Employable
22-02821,Female,28,BSA,2022,2.68,98.45,71.15,94.76,Yes,No,3,3,Employable
18-02822,Female,26,BSIT,2018,2.61,90.66,74.41,94.86,Yes,No,5,4,Employable
23-02823,Female,27,BSCS,2023,3.74,98.54,73.19,82.51,No,Yes,5,1,Employable
19-02824,Male,23,BSBA,2019,3.06,86.87,80.06,91.82,Yes,Yes,2,3,Not Employable
17-02825,Female,23,BSCS,2017,2.73,98.82,88.3,83.42,Yes,No,5,3,Not Employable
23-02826,Female,32,BSCS,2023,2.53,96.77,71.39,92.19,No,Yes,3,1,Not Employable
23-02827,Male,21,BSN,2023,3.18,73.86,91.83,99.83,No,Yes,4,2,Employable
18-02828,Male,27,BSCS,2018,2.3,79.32,81.92,77.87,No,Yes,4,4,Employable
18-02829,Female,34,BSIT,2018,2.49,77.29,98.91,89.02,Yes,No,5,5,Employable
22-02830,Female,30,BSIT,2022,2.59,87.16,87.05,81.4,Yes,No,1,5,Employable
16-02831,Male,21,BSHM,2016,3.22,94.08,93.14,86.45,No,No,1,5,Employable
23-02832,Female,28,BSA,2023,2.75,92.78,95.84,96.22,Yes,No,1,4,Employable
20-02833,Male,33,BSCS,2020,3.01,91.8,96.67,80.43,Yes,Yes,5,1,Not Employable
23-02834,Female,23,BSN,2023,3.3,81.26,85.55,72.17,No,No,5,1,Not Employable
22-02835,Male,20,BSN,2022,3.91,74.19,81.9,93.97,No,No,5,1,Employable
21-02836,Female,32,BSE,2021,3.53,76.32,86.82,86.65,No,No,3,5,Employable
15-02837,Male,23,BSA,2015,2.81,92.25,82.06,83.48,Yes,Yes,1,2,Not Employable
17-02838,Male,22,BSN,2017,3.5,74.43,77.22,75.5,Yes,Yes,2,3,Employable
16-02839,Male,31,BSIT,2016,3.9,76.69,79.72,72.79,No,Yes,3,5,Not Employable
19-02840,Male,25,BSE,2019,3,82.74,76.98,78.36,Yes,No,3,4,Employable
19-02841,Male,26,BSP,2019,2.82,72.16,78.08,91.57,No,No,5,1,Employable
